AppID,Name,ReleaseDate,PeakCCU,Price,Positive,Negative,Recommendations,Genres
2539430,Black Dragon Mage Playtest,"Aug 1, 2023",0,0.0,0,0,0,
496350,Supipara - Chapter 1 Spring Has Come!,"Jul 29, 2016",0,5.24,252,3,231,Adventure
1034400,Mystery Solitaire The Black Raven,"May 6, 2019",0,4.99,21,3,0,Casual
3292190,버튜버 파라노이아 - Vtuber Paranoia,"Oct 31, 2024",1,8.99,0,0,0,"Casual,Indie,Simulation"
3631080,Maze Quest VR,"Apr 24, 2025",0,4.99,0,0,0,"Action,Early Access"
1654170,Agony VR,"Apr 5, 2023",0,13.99,0,0,0,"Action,Adventure"
1934300,Armored Brigade II,"Apr 8, 2025",8,35.99,117,13,107,"Simulation,Strategy"
700340,Galacatraz: Eject Equip Escape,"Feb 1, 2018",0,0.99,0,0,0,"Action,Indie"
1157670,Hepta Beats,"May 7, 2021",0,0.99,28,4,0,"Casual,Indie"
1540330,MUMBA IV: Egypt Jewels,"Dec 13, 2021",1,0.59,19,6,0,"Action,Casual,Indie,Strategy"
1946890,Codename: Warlock Playtest,"Mar 25, 2022",0,0.0,0,0,0,
1108640,OMNIMUS,"Sep 25, 2019",0,0.99,47,6,0,"Adventure,Indie"
1025440,Fantasy General II,"Sep 5, 2019",13,13.99,1025,210,994,Strategy
2113450,"Forests, Fields and Fortresses","Apr 5, 2023",0,1.49,64,2,0,"Casual,Indie"
2922740,DogDogDog,"Apr 19, 2024",0,1.35,34,10,0,"Adventure,Casual,Indie"
1282900,Bacon Quest - Lovers' Beef Special Edition,"Apr 29, 2020",0,0.99,0,0,0,RPG
2517090,Challenge from the Black Cat,"Aug 10, 2023",0,1.4,2,0,0,Action
328460,Redline,"Oct 23, 2014",0,1.04,74,35,0,"Action,Racing"
2260230,Midnight Dash,"Jan 9, 2023",0,0.0,0,0,0,"Action,Adventure,Indie,Free To Play,Early Access"
2403000,Fantasy Amusement Park,"Jul 28, 2023",1,5.99,0,0,318,Casual
2713630,Black Market,"Jan 24, 2025",0,0.0,0,0,0,"Casual,Indie,Simulation"
1607040,Evertried,"Oct 21, 2021",0,5.99,55,14,0,"Indie,Strategy"
815170,Zombie World,"Jun 1, 2018",0,7.99,0,4,0,"Action,Adventure,Indie,RPG"
2072070,RPG Plus - Virtual Tabletop,"Feb 14, 2024",0,0.0,0,0,0,"RPG,Strategy"
2349750,CyberVault Playtest,"Mar 8, 2023",0,0.0,0,0,0,
2628280,A Night In Omar's Burger Playtest,"Oct 4, 2023",0,0.0,0,0,0,
688420,Bad North: Jotunn Edition,"Nov 16, 2018",64,2.99,11367,831,11250,"Action,Indie,Simulation"
657010,Lucky Night: Texas Hold'em VR,"Jul 26, 2017",0,0.0,144,35,0,"Casual,Free To Play"
3281190,They Yearn For The Mines,"Dec 4, 2024",0,5.99,6,0,0,"Action,Adventure,Casual,Indie,Sports"
2260360,Zooblies,"Jan 16, 2023",0,1.99,5,0,0,"Action,Casual"
1514380,COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,"Jan 26, 2022",0,12.49,75,34,111,Action
496910,DrumKit VR - Play drum kit in the world of VR,"Jul 8, 2016",0,4.99,7,15,0,Audio Production
2334500,Wizard Shrimp,"Dec 13, 2024",1,2.99,95,2,0,"Action,Casual,Indie"
2075820,Controller Sync,"Nov 18, 2023",0,0.99,5,0,0,"Action,Casual,Indie,Strategy"
334030,Epic Arena,"May 5, 2015",2,0.0,196,104,0,"Free To Play,Indie,Strategy"
